"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","2.6794","2.6794","2.8491","3.0282","3.1847","3.3212","3.4166","3.5368","3.6554","3.7754","3.8996","3.8502","3.8026","3.748","3.7175","3.5784","3.6149","3.6164","3.6234","3.5579","3.8072","3.9912","1.3771","1.9996","0.6364","0.5054","0.4466","0.8514","0.9733","1.0284","0.7229","0.8003","0.7987","0.9878","1.0972","1.3588","1.4368","1.1704","1.3444","0.9617","0.5159","0.5971","0.6657","0.6579","0.5723","0.411","0.4","0.4512","0.4738","0.435","0.4479","0.5242","0.6253","0.5949","0.5956","",
"American Samoa","ASM","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","0.0008","0.0008","0.0009","0.0007","0.0008","0.0009","0.001","0.0011","0.0011","0.001","0.0013","0.0014","0.0015","0.0011","0.0013","0.0014","0.0023","0.0028","0.0026","0.0033","0.0076","0.007","0.0057","0.0051","0.0053","0.0059","0.0057","0.0054","0.0055","0.0059","0.0034","0.0038","0.0093","0.0086","0.0081","0.0069","0.0067","0.0066","0.0056","0.0074","0.0085","0.0074","0.0109","0.0125","0.0141","0.0152","0.0141","0.0197","0.0174","0.018","0.0191","0.0226","0.0235","0.0234","0.0243","",
"Australia","AUS","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","43.6339","44.8827","43.6102","45.3739","45.644","45.735","44.696","45.9788","43.4232","45.482","45.1636","41.9504","40.4399","35.3308","36.4721","38.557","38.5717","39.826","41.0598","42.2886","42.8478","43.1029","42.8171","43.7198","45.4161","46.2112","45.9956","47.4749","47.5997","47.4678","47.9851","47.2622","37.913","44.2656","45.2757","43.7986","42.6593","43.2861","44.7939","41.1766","36.9721","39.5255","40.9997","41.0129","41.0139","37.6898","38.2161","37.721","39.4341","39.3349","38.9661","40.1773","39.958","39.6134","39.5495","",
"Austria","AUT","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","13.4035","13.5448","13.8914","14.7527","15.9109","14.2497","14.6585","14.3847","14.6496","14.3893","12.9527","10.3911","9.9328","10.174","10.9141","11.3178","10.6523","10.5777","10.8022","10.5135","9.5174","10.0762","9.1412","9.3971","9.2599","9.7075","9.8274","10.9706","10.3086","9.5215","10.6841","10.5406","10.2968","11.0513","11.7129","11.0462","11.2679","10.966","11.2298","10.6035","11.1011","11.2213","11.0351","10.6514","10.314","10.4192","10.7094","10.6354","10.5431","10.6506","10.3971","10.7234","10.5808","9.6498","9.5482","",
"Azerbaijan","AZE","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","8.0653","8.0653","8.5247","9.0838","9.5746","10.0892","10.1728","10.416","10.6877","11.006","11.3121","11.2465","11.2278","11.2169","11.3809","11.2671","11.381","11.5043","11.6466","11.5768","16.277","17.0166","9.1348","7.167","6.9035","8.5703","4.4312","3.9276","2.1323","2.5914","2.6721","2.1962","3.0081","2.3824","1.8934","1.6881","1.6206","2.2763","2.6478","1.7459","1.4394","1.7268","2.1791","2.1996","2.3009","2.3247","2.796","1.7469","1.3532","2.1594","2.2038","2.1101","2.6413","2.7066","2.4969","",
"Burundi","BDI","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","0.0216","0.0216","0.0219","0.0216","0.0239","0.0237","0.0198","0.0171","0.0181","0.0223","0.0196","0.0204","0.0124","0.016","0.0168","0.0184","0.0214","0.0514","0.0585","0.0575","0.0161","0.0233","0.0178","0.0194","0.0208","0.0201","0.0228","0.023","0.0241","0.0261","0.0282","0.0229","0.0208","0.0181","0.0212","0.0188","0.0253","0.0434","0.0253","0.0257","0.0438","0.0578","0.0469","0.0424","0.0424","0.0486","0.0409","0.0497","0.072","0.0838","0.0999","0.0948","0.097","0.0989","0.1006","",
"Belgium","BEL","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","47.6014","40.9156","43.0524","44.5746","42.922","34.5498","39.3038","37.0297","37.5546","35.7315","33.566","29.5486","28.95","25.7861","28.4365","28.1246","27.1391","26.0887","26.9704","28.4931","26.7541","26.6877","24.076","22.7061","23.9292","22.4285","21.811","22.1839","22.7246","23.3631","24.9496","27.8277","23.1742","23.6476","20.8106","19.4954","18.6367","17.1419","17.2148","16.5238","18.0789","17.0517","16.913","17.5886","17.2927","17.2104","17.3455","16.6679","17.1961","16.3479","15.9157","16.9205","14.4591","13.7777","13.7064","",
"Benin","BEN","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","0.0124","0.0124","0.0156","0.0093","0.0093","0.0218","0.0249","0.0218","0.0156","0.0187","0.028","0.0311","0.0342","0.0342","0.0156","0.028","0.028","0.0218","0.0249","0.0311","0.0311","0.0187","0.0249","0.028","0.0218","0.028","0.1488","0.1771","0.1371","0.1596","0.1563","0.1527","0.1528","0.1404","0.1468","0.137","0.1342","0.1342","0.1217","0.1497","0.1464","0.1651","0.1589","0.2524","0.4625","0.3952","0.3987","0.3293","0.1191","0.4992","0.5249","0.526","0.6109","0.6595","0.5923","",
"Burkina Faso","BFA","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","0.0927","0.0927","0.0937","0.0927","0.1025","0.1014","0.0847","0.0731","0.0774","0.0957","0.0839","0.0763","0.0533","0.0598","0.0503","0.0533","0.0726","0.1672","0.1288","0.0977","0.0262","0.0378","0.0316","0.0325","0.0368","0.037","0.042","0.0693","0.0644","0.07","0.0839","0.1008","0.1049","0.125","0.1078","0.1238","0.1316","0.195","0.2127","0.2053","0.2509","0.3025","0.3151","0.3123","0.3161","0.4585","0.3256","0.388","0.4731","0.5615","0.5758","0.642","0.6345","0.6068","0.6304","",
